Hash,Filename,New Function Signature,Old Function Signature
7a7ad1cdb22ed381c468ee38d757da03b4b1877a,Threads.java,"newThreadFactory(final String name, final boolean daemon)",newThreadFactory(final String name)
853c4012b79711f123c0b9780e565062b32bf1c7,SpdyWriter.java,"synReply(int flags, int streamId, List<String> nameValueBlock)",synReply()
853c4012b79711f123c0b9780e565062b32bf1c7,SpdyWriter.java,"synReset(int streamId, int statusCode)",synReset()
853c4012b79711f123c0b9780e565062b32bf1c7,SpdyWriter.java,"data(int flags, int streamId, byte[] data)",data(byte[] data)
853c4012b79711f123c0b9780e565062b32bf1c7,SpdyWriter.java,"settings(int flags, Settings settings)",settings(int numberOfEntries)
853c4012b79711f123c0b9780e565062b32bf1c7,SpdyWriter.java,"ping(int flags, int id)",ping()
961d797e9c84557cdf56f7036558e72a54c578f6,SpdyReader.java,"readSynStream(Handler handler, int flags, int length)",readSynStream()
961d797e9c84557cdf56f7036558e72a54c578f6,SpdyReader.java,"readSynReply(Handler handler, int flags, int length)",readSynReply()
961d797e9c84557cdf56f7036558e72a54c578f6,SpdyReader.java,"readPing(Handler handler, int flags, int length)",readPing()
961d797e9c84557cdf56f7036558e72a54c578f6,SpdyReader.java,"readSettings(Handler handler, int flags, int length)",readSettings()
99fb988657263a77b9d9b26bf2f64ec82a0cab72,SpdyStream.java,"reply(List<String> responseHeaders, boolean out)",reply(List<String> responseHeaders)
3355d0c99bb946a6441f08fe6fd1c9881a9ea96a,HttpConnection.java,upgradeToTls(TunnelConfig tunnelConfig),"upgradeToTls(boolean tlsTolerant, TunnelConfig tunnelConfig)"
7f7aa90bc5d41d8f818fc988d2a91d22393c7329,URLConnectionTest.java,openConnection(URL url),"openConnection(URL url, Proxy proxy)"
7f7aa90bc5d41d8f818fc988d2a91d22393c7329,URLConnectionTest.java,"openConnection(URL url, Proxy proxy)",openConnection(URL url)
1a1e1b7e2dee58fc9be947dec84126b0e35fe527,URLConnectionTest.java,openConnection(URL url),"openConnection(URL url, Proxy proxy)"
2d45a13249943cafa73460b35c3c366e5742eb6f,DiskLruCache.java,edit(String key),"edit(String key, long expectedSequenceNumber)"
2d45a13249943cafa73460b35c3c366e5742eb6f,DiskLruCache.java,"edit(String key, long expectedSequenceNumber)",edit(String key)
2d45a13249943cafa73460b35c3c366e5742eb6f,DiskLruCache.java,"edit(String key, long expectedSequenceNumber)",edit()
2d45a13249943cafa73460b35c3c366e5742eb6f,DiskLruCache.java,edit(),"edit(String key, long expectedSequenceNumber)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,getEffectivePort(URI uri),"getEffectivePort(String scheme, int specifiedPort)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,getEffectivePort(URL url),"getEffectivePort(String scheme, int specifiedPort)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,"getEffectivePort(String scheme, int specifiedPort)",getEffectivePort(URI uri)
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,"getEffectivePort(String scheme, int specifiedPort)",getEffectivePort(URL url)
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,"readFully(InputStream in, byte[] dst)","readFully(InputStream in, byte[] dst, int offset, int byteCount)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,"readFully(InputStream in, byte[] dst)",readFully(Reader reader)
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,readFully(Reader reader),"readFully(InputStream in, byte[] dst)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Util.java,readFully(Reader reader),"readFully(InputStream in, byte[] dst, int offset, int byteCount)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Ping.java,roundTripTime(),"roundTripTime(long timeout, TimeUnit unit)"
2d45a13249943cafa73460b35c3c366e5742eb6f,Ping.java,"roundTripTime(long timeout, TimeUnit unit)",roundTripTime()
2d45a13249943cafa73460b35c3c366e5742eb6f,HttpResponseCacheTest.java,"formatDate(long delta, TimeUnit timeUnit)",formatDate(Date date)
2d45a13249943cafa73460b35c3c366e5742eb6f,HttpResponseCacheTest.java,formatDate(Date date),"formatDate(long delta, TimeUnit timeUnit)"
2d45a13249943cafa73460b35c3c366e5742eb6f,HttpResponseCacheTest.java,"readAscii(URLConnection connection, int count)",readAscii(URLConnection connection)
2d45a13249943cafa73460b35c3c366e5742eb6f,HttpResponseCacheTest.java,readAscii(URLConnection connection),"readAscii(URLConnection connection, int count)"
00a50d1919549b51d941aeb893b2a5ed465aa472,MockWebServer.java,processHandshakeFailure(Socket raw),"processHandshakeFailure(Socket raw, int sequenceNumber)"
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,addHeader(String header),"addHeader(String name, Object value)"
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,"addHeader(String name, Object value)",addHeader(String header)
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,setBody(byte[] body),"setBody(InputStream bodyStream, long bodyLength)"
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,"setBody(InputStream bodyStream, long bodyLength)",setBody(byte[] body)
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,"setBody(InputStream bodyStream, long bodyLength)",setBody(String body)
d5ab35a272dfd9a7eca1072a72d3d57f29c438b4,MockResponse.java,setBody(String body),"setBody(InputStream bodyStream, long bodyLength)"
6e382aa9b807c61adc88eb0a2cddc047382e36d9,SpdyConnection.java,"writePing(boolean reply, int payload1, int payload2, Ping ping)","writePing(int id, Ping ping)"
4db72885614c8e9224b0836b85f58acdb4f005cd,Hpack.java,"insertIntoHeaderTable(int index, HeaderEntry entry)","insertIntoHeaderTable(int index, String name, String value)"
350c43b6fe02401a73f967d9ef322061638b372a,RawHeaders.java,readHeaders(InputStream in),"readHeaders(InputStream in, RawHeaders out)"
14b6e76e7d7af9b99a7fdc1a56d7ee9309711722,HttpResponseCache.java,"matches(Request request, Response response)",matches(Request request)
957537774b319bb0109819258a11af78a98bcb97,HttpTransport.java,readResponse(InputStream in),"readResponse(Request request, InputStream in)"
262e3d43b63083ad9f87f3f332827b2ae37a30ff,SpdyTransport.java,"writeNameValueBlock(Request request, String version)",writeNameValueBlock(Headers headers)
d7444f5fc4414b51b2708606257381cc0de404e1,SpdyTransport.java,"writeNameValueBlock(Request request, String protocol, String version)","writeNameValueBlock(Request request, String version)"
46a0852c202acf68cd890867a35f8e51b81c2948,RouteDatabase.java,failed(Route failedRoute),"failed(Route failedRoute, IOException failure)"
c1458f74d8ede24d188dff928f13376188f9122d,CacheStrategy.java,get(),"get(long nowMillis, Response response, Request request)"
c1458f74d8ede24d188dff928f13376188f9122d,CacheStrategy.java,getCandidate(),"getCandidate(long nowMillis, Response response, Request request)"
471ed070e9e0b0860b0146f26458c5c0bd8169e0,BaseTestHandler.java,"windowUpdate(int streamId, int windowSizeIncrement)","windowUpdate(int streamId, int deltaWindowSize, boolean endFlowControl)"
d990b5819cd6282923134564f3bcc59263eb0616,SpdyStream.java,waitUntilWritable(int byteCount),"waitUntilWritable(int count, boolean last)"
b77e76c7367af5a09097f407c0066a227454dec8,URLConnectionTest.java,"assertContent(String expected, HttpURLConnection connection, int limit)","assertContent(String expected, URLConnection connection)"
dac5aed3d5f9307b9d1ab0a8c7840b232d053ef3,HttpConnection.java,discard(InputStream responseBodyIn),"discard(HttpEngine httpEngine, InputStream responseBodyIn)"
a669069599893a774748181a238e0b009a4f3e87,HttpConnection.java,"discard(Source in, int timeoutMillis)",discard(InputStream responseBodyIn)
a669069599893a774748181a238e0b009a4f3e87,HttpConnection.java,"cacheWrite(OkBuffer source, long byteCount)","cacheWrite(byte[] buffer, int offset, int count)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,write(ByteString byteString),"write(ByteString byteString, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,write(ByteString byteString),"write(byte[] data, int offset, int byteCount, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,writeUtf8(String string),"writeUtf8(String string, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,"write(byte[] data, int offset, int byteCount)","write(ByteString byteString, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,"write(byte[] data, int offset, int byteCount)","write(byte[] data, int offset, int byteCount, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,writeByte(int b),"writeByte(int b, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,writeShort(int s),"writeShort(int s, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSink.java,writeInt(int i),"writeInt(int i, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSource.java,skip(long byteCount),"skip(long byteCount, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,BufferedSource.java,seek(byte b),"seek(byte b, Deadline deadline)"
cca9142903097dbe4643944bbb4dbe5e2b87d922,DeflaterSink.java,deflate(boolean syncFlush),"deflate(Deadline deadline, boolean syncFlush)"
7995b46276295a7c1d8afd920d6900777dfeae59,OkBuffer.java,indexOf(byte b),"indexOf(byte b, long fromIndex)"
7995b46276295a7c1d8afd920d6900777dfeae59,OkBuffer.java,"indexOf(byte b, long fromIndex)",indexOf(byte b)
84184afdb26b42ff615896f9c0161157cc84ec73,SpdyStream.java,"writeFrame(boolean outFinished, long byteCount)",writeFrame()
b03026067b3686e45d4e11886eaccf084c36b01e,Huffman.java,buildTree(),"buildTree(int[] codes, byte[] lengths)"
34ab38d63613f861f7d14b6f572ac42b57b10b0f,JavaApiConverterTest.java,createResponseBody(String bodyText),"createResponseBody(final String contentType, final byte[] bytes)"
5b6f64a46220911466350202ae974f167497225a,HttpEngine.java,"recover(IOException e, Sink requestBodyOut)",recover(IOException e)
97a01311da455eb392aea2149571de88cbfd9259,Headers.java,get(String name),"get(String[] namesAndValues, String fieldName)"
97a01311da455eb392aea2149571de88cbfd9259,Headers.java,"get(String[] namesAndValues, String name)",get(String fieldName)
97a01311da455eb392aea2149571de88cbfd9259,Headers.java,"get(String[] namesAndValues, String name)",get(String fieldName)
97a01311da455eb392aea2149571de88cbfd9259,Headers.java,get(String name),"get(String[] namesAndValues, String fieldName)"
ddac0083db1f4d8fccf68c23254751c4167565a1,HeaderParser.java,"parseSeconds(String value, int defaultValue)",parseSeconds(String value)
e74e3f3bf744ef7f4d8ee724a7cf2347e486cfab,Util.java,"skipAll(Source source, int duration, TimeUnit timeUnit)","skipAll(Source in, int timeoutMillis)"
32b7675b726a1ca62f5080581f6daaf9b7c6a48e,HttpEngine.java,"readResponse(boolean forWebSocket, RequestBody requestBody)",readResponse(boolean forWebSocket)
27c6e69c82a8252aed664b4ae6e09e5627778586,HttpEngine.java,readResponse(),"readResponse(boolean forWebSocket, RequestBody requestBody)"
3a65dcd37bcc46916eab37f340298ab9e1ca49dc,JavaApiConverter.java,createOkBody(final URLConnection urlConnection),"createOkBody(final Headers okHeaders, InputStream body)"
60f5406dcc094d0431420139bd002e8bdd4ea5d5,ConnectionSpec.java,"supportedSpec(SSLSocket sslSocket, boolean isFallback)",supportedSpec(SSLSocket sslSocket)
d18d8ce08a273bb73d8fe2bdbc99dfa95226ca54,RealWebSocket.java,"peerClose(int code, String reason, boolean writeCloseResponse)","peerClose(int code, String reason)"
b7baf23d86305762ea4e42adc4054c0840eca5ca,ResponseCacheTest.java,formatDate(Date date),"formatDate(long delta, TimeUnit timeUnit)"
4a27e9179f17ce91df3a6b8518578f82cf1c8c86,HttpUrl.java,"encode(String input, int pos, int limit, String encodeSet)","encode(StringBuilder out, String input, int pos, int limit, String encodeSet)"
4a27e9179f17ce91df3a6b8518578f82cf1c8c86,HttpUrl.java,"encode(StringBuilder out, String input, int pos, int limit, String encodeSet)","encode(String input, int pos, int limit, String encodeSet)"
9896c2f10ba1e74bb2bccd9699b87e78b60c8991,HttpUrl.java,username(String username),"username(String input, int pos, int limit)"
